/home/ym2380/get_bored/classics/style_transfer/logs/../code/main.py:23: DeprecationWarning: ANTIALIAS is deprecated and will be removed in Pillow 10 (2023-07-01). Use LANCZOS or Resampling.LANCZOS instead.
  img = img.resize(size.astype(int), Image.ANTIALIAS)
/ext3/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/ext3/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)

    *******************************INFO*******************************
    It has been 6 years. Can you believe it?
    Content: content002.JPG
    Style: style001.jpeg
    max_size: 400
    lr: 0.003
    epochs: 2000
    style_weight: 100
    working_dir: content001_style001
    ******************************************************************
    
Epoch [1540/2000], Content Loss: 23.5436, Style Loss: 9.3329
Epoch [1550/2000], Content Loss: 23.5561, Style Loss: 9.2682
Epoch [1560/2000], Content Loss: 23.5694, Style Loss: 9.2041
Epoch [1570/2000], Content Loss: 23.5825, Style Loss: 9.1406
Epoch [1580/2000], Content Loss: 23.5956, Style Loss: 9.0777
Epoch [1590/2000], Content Loss: 23.6082, Style Loss: 9.0155
Epoch [1600/2000], Content Loss: 23.6216, Style Loss: 8.9538
Epoch [1610/2000], Content Loss: 23.6348, Style Loss: 8.8928
Epoch [1620/2000], Content Loss: 23.6482, Style Loss: 8.8324
Epoch [1630/2000], Content Loss: 23.6609, Style Loss: 8.7726
Epoch [1640/2000], Content Loss: 23.6734, Style Loss: 8.7133
Epoch [1650/2000], Content Loss: 23.6858, Style Loss: 8.6546
Epoch [1660/2000], Content Loss: 23.6979, Style Loss: 8.5965
Epoch [1670/2000], Content Loss: 23.7099, Style Loss: 8.5389
Epoch [1680/2000], Content Loss: 23.7216, Style Loss: 8.4819
Epoch [1690/2000], Content Loss: 23.7343, Style Loss: 8.4254
Epoch [1700/2000], Content Loss: 23.7459, Style Loss: 8.3694
Epoch [1710/2000], Content Loss: 23.7574, Style Loss: 8.3140
Epoch [1720/2000], Content Loss: 23.7697, Style Loss: 8.2590
Epoch [1730/2000], Content Loss: 23.7813, Style Loss: 8.2046
Epoch [1740/2000], Content Loss: 23.7932, Style Loss: 8.1506
Epoch [1750/2000], Content Loss: 23.8050, Style Loss: 8.0972
Epoch [1760/2000], Content Loss: 23.8164, Style Loss: 8.0443
Epoch [1770/2000], Content Loss: 23.8279, Style Loss: 7.9918
Epoch [1780/2000], Content Loss: 23.8399, Style Loss: 7.9399
Epoch [1790/2000], Content Loss: 23.8512, Style Loss: 7.8884
Epoch [1800/2000], Content Loss: 23.8622, Style Loss: 7.8374
Epoch [1810/2000], Content Loss: 23.8727, Style Loss: 7.7869
Epoch [1820/2000], Content Loss: 23.8831, Style Loss: 7.7369
Epoch [1830/2000], Content Loss: 23.8930, Style Loss: 7.6874
Epoch [1840/2000], Content Loss: 23.9035, Style Loss: 7.6383
Epoch [1850/2000], Content Loss: 23.9138, Style Loss: 7.5897
Epoch [1860/2000], Content Loss: 23.9238, Style Loss: 7.5415
Epoch [1870/2000], Content Loss: 23.9344, Style Loss: 7.4938
Epoch [1880/2000], Content Loss: 23.9458, Style Loss: 7.4464
Epoch [1890/2000], Content Loss: 23.9568, Style Loss: 7.3994
Epoch [1900/2000], Content Loss: 23.9679, Style Loss: 7.3529
Epoch [1910/2000], Content Loss: 23.9784, Style Loss: 7.3069
Epoch [1920/2000], Content Loss: 23.9888, Style Loss: 7.2612
Epoch [1930/2000], Content Loss: 23.9996, Style Loss: 7.2160
Epoch [1940/2000], Content Loss: 24.0099, Style Loss: 7.1711
Epoch [1950/2000], Content Loss: 24.0206, Style Loss: 7.1267
Epoch [1960/2000], Content Loss: 24.0309, Style Loss: 7.0826
Epoch [1970/2000], Content Loss: 24.0410, Style Loss: 7.0389
Epoch [1980/2000], Content Loss: 24.0510, Style Loss: 6.9956
Epoch [1990/2000], Content Loss: 24.0613, Style Loss: 6.9526
Epoch [2000/2000], Content Loss: 24.0708, Style Loss: 6.9100
